volume,num,open,close,low,high,money,label
13.1182,110,8132.13,8141,8132.12,8144.82,106760.3516,8137.28
37.1978229,205,8132.6,8132,8125,8137.88,302380.8702,8141
8.479172949,100,8137.82,8132.6,8131.16,8137.83,68972.4384,8132
18.5242677,123,8145,8137.11,8132.91,8145,150774.488,8132.6
13.08610499,156,8140,8145.77,8140,8148.14,106573.3342,8137.11
11.12789517,85,8143.87,8140.01,8140,8144.05,90593.88818,8145.77
21.34889961,112,8150.92,8144.16,8142.17,8150.92,173924.3278,8140.01
9.0643,54,8152.52,8151,8150.49,8153.3,73895.04777,8144.16
28.42708711,95,8152.74,8152.56,8151.68,8154.45,231773.418,8151
17.42622871,135,8150.44,8151.57,8148.94,8154.07,142030.76,8152.56
18.35018064,104,8154.3,8150.44,8150,8155.12,149582.3633,8151.57
6.975540591,101,8155.52,8152.3,8152.3,8157.34,56891.35894,8150.44
3.903339245,50,8153.33,8154.71,8153.33,8155.52,31831.61462,8152.3
6.8227,75,8156.3,8154.14,8153.09,8157.41,55630.83158,8154.71
5.2315,79,8155.11,8155.89,8154.13,8156.95,42666.89406,8154.14
17.85644501,88,8160,8154.17,8154.17,8160,145634.5865,8155.89
10.9803069,94,8162.73,8161.45,8160,8162.92,89626.06119,8154.17
6.287140133,59,8163.76,8162.35,8162,8163.76,51319.69018,8161.45
11.4942,68,8161.7,8163.47,8160.05,8163.76,93824.40285,8162.35
10.89717753,75,8163.59,8161.3,8159.99,8163.72,88929.01113,8163.47
18.4006,109,8160.05,8162.78,8159.68,8163.76,150183.8088,8161.3
7.372955683,87,8159.48,8159.99,8158.2,8159.99,60157.1793,8162.78
6.201200539,91,8155.72,8159.48,8154.93,8159.61,50586.5214,8159.99
9.342316108,130,8155.72,8155.72,8154.91,8160.84,76220.19003,8159.48
6.9958,84,8154.9,8156.44,8152.89,8156.52,57052.80298,8155.72
18.6344,114,8153.18,8154.49,8153.07,8156.09,151963.6193,8156.44
3.7658,55,8156.96,8153.12,8153.12,8157,30712.77993,8154.49
9.848448898,80,8157.17,8157.15,8156.59,8161.23,80345.95988,8153.12
8.09696226,75,8153.31,8157.15,8152.93,8157.18,66028.24529,8157.15
8.238088841,72,8151.39,8153.88,8150.88,8153.88,67155.1212,8157.15
6.503510076,49,8153.55,8151.39,8151.39,8153.84,53025.11837,8153.88
